Item	target_img	competitor_img	distractor_img	target_xmin	target_ymin	target_xmax	target_ymax	competitor_xmin	competitor_ymin	competitor_xmax	competitor_ymax	distractor_xmin	distractor_ymin	distractor_xmax	distractor_ymax
101	7456	16931	12614	497	838	696	1071	685	322	1010	470	1202	655	1634	921
102	2025	31813	2318	345	608	751	1014	697	150	1220	459	1351	701	1697	971
103	4785	32178	8211	434	607	756	811	717	222	1207	457	1321	751	1713	985
104	39946	4164	12556	410	744	703	896	928	143	1231	474	1417	624	1643	789
105	26044	1380	2889	459	820	681	1019	869	297	1151	475	1411	678	1679	1007
106	27207	33464	27627	301	716	452	975	1295	603	1584	942	944	215	1221	444
107	12275	11121	39830	207	759	399	1018	1232	652	1653	907	718	104	1173	438
108	16145	4640	12991	397	708	578	916	1298	803	1536	1000	921	289	1146	486
109	5124	1311	3136	411	862	641	1001	1222	772	1636	960	824	149	1039	293
110	27363	37890	14016	368	697	604	1029	1292	545	1580	964	878	267	1076	448
111	9689	8370	11135	702	239	896	405	253	807	718	1010	1395	812	1601	960
112	37080	40245	9522	744	209	1166	379	359	638	712	971	1484	793	1686	952
113	4121	8503	37903	1030	283	1233	448	225	641	758	810	1470	627	1621	819
114	16093	11671	12760	734	176	1195	323	214	607	606	751	1351	604	1588	816
115	6302	11148	32168	784	148	1232	274	440	779	596	938	1195	655	1538	855
116	3140	1413	21814	717	157	1176	413	1184	607	1376	882	220	683	730	973
117	9507	1008	11386	939	271	1157	455	1240	757	1649	1077	405	624	638	1023
118	22747	7544	16728	832	109	1143	283	1252	657	1616	855	225	698	728	955
119	30908	3238	13995	689	205	1240	334	1365	830	1635	993	323	634	611	885
120	22346	8523	10904	702	139	866	398	1195	672	1536	981	215	653	623	907
121	11437	8979	2695	1176	751	1709	938	689	65	1215	265	363	823	686	1003
122	39264	12930	27035	1170	712	1708	912	778	120	1072	313	240	663	726	945
123	16755	12867	21049	1228	593	1440	945	691	200	1173	459	245	716	752	1012
124	1972	1827	11614	1409	605	1708	816	749	160	1009	431	355	618	663	945
125	15693	9580	40172	1229	545	1658	677	781	364	1094	533	445	652	647	884
126	30260	8928	23116	1168	748	1321	904	359	748	534	948	688	104	1231	474
127	10067	6827	21608	1422	763	1712	1001	251	805	473	971	762	128	1222	437
128	1851	40563	698	1169	851	1712	974	434	831	629	971	756	259	1122	478
129	16380	26251	10506	1033	579	1705	844	305	697	507	914	689	346	1233	476
130	1277	685	10730	1225	653	1425	831	462	634	739	871	702	93	995	444
