Item	Condition	Adjektiv_Onset1	Nomen_Onset
101	1	0.64	1.0400001
101	2	0.64	1.05
101	3	0.64	1.464
102	1	0.685	1.02
102	2	0.685	1.05
102	3	0.685	1.579
103	1	0.565	0.9
103	2	0.565	0.945
103	3	0.565	1.454
104	1	0.7	1.015
104	2	0.685	1.045
104	3	0.685	1.598
105	1	0.685	1.05
105	2	0.635	1.11
105	3	0.635	1.721
106	1	0.685	1.085
106	2	0.685	1.02
106	3	0.685	1.44
107	1	0.64	0.99
107	2	0.64	1.05
107	3	0.64	1.42
108	1	0.64	1.045
108	2	0.64	0.99
108	3	0.64	1.404
109	1	0.64	1.045
109	2	0.64	1.035
109	3	0.64	1.585
110	1	0.565	0.935
110	2	0.565	0.945
110	3	0.565	1.454
111	1	0.685	1.05
111	2	0.685	1.045
111	3	0.685	1.6
112	1	0.575	0.98
112	2	0.565	0.9
112	3	0.565	1.314
113	1	0.64	1.045
113	2	0.64	1.045
113	3	0.64	1.415
114	1	0.575	0.98
114	2	0.565	0.945
114	3	0.565	1.464
115	1	0.575	0.98
115	2	0.575	0.945
115	3	0.575	1.315
116	1	0.64	1.045
116	2	0.64	0.99
116	3	0.64	1.405
117	1	0.635	1.215
117	2	0.64	1.035
117	3	0.64	1.585
118	1	0.575	1.06
118	2	0.575	0.945
118	3	0.575	1.315
119	1	0.575	0.97
119	2	0.565	1.01
119	3	0.565	1.519
120	1	0.575	1.06
120	2	0.575	0.935
120	3	0.575	1.485
121	1	0.565	1.01
121	2	0.575	0.97
121	3	0.575	1.52
122	1	0.635	1.28
122	2	0.64	1.045
122	3	0.64	1.415
123	1	0.64	1.085
123	2	0.64	1.035
123	3	0.64	1.585
124	1	0.635	1.2
124	2	0.64	1.035
124	3	0.64	1.585
125	1	0.575	0.98
125	2	0.575	0.9
125	3	0.575	1.27
126	1	0.685	1.02
126	2	0.685	1.05
126	3	0.685	1.579
127	1	0.565	0.935
127	2	0.575	0.945
127	3	0.575	1.315
128	1	0.575	1.04
128	2	0.575	1.135
128	3	0.575	1.726
129	1	0.575	1.005
129	2	0.575	0.945
129	3	0.575	1.315
130	1	0.575	1.14
130	2	0.565	0.9
130	3	0.565	1.314
