Participant	Item	Condition	Target	Competitor	Distractor
P18	116	3	1	0	0
P9	116	3	1	0	0
P15	116	3	1	0	0
P6	116	3	1	0	0
P3	116	3	1	0	0
P21	116	3	1	0	0
P12	116	3	1	0	0
P3	117	1	1	0	0
P21	117	1	1	0	0
P6	117	1	1	0	0
P18	117	1	1	0	0
P15	117	1	1	0	0
P9	117	1	1	0	0
P12	117	1	1	0	0
P6	101	3	1	0	0
P21	101	3	1	0	0
P18	101	3	0	1	0
P15	101	3	1	0	0
P9	101	3	1	0	0
P3	101	3	1	0	0
P12	101	3	1	0	0
P6	109	2	1	0	0
P12	109	2	1	0	0
P3	109	2	1	0	0
P18	109	2	1	0	0
P9	109	2	1	0	0
P21	109	2	1	0	0
P15	105	3	0	1	0
P6	105	3	1	0	0
P21	105	3	1	0	0
P3	105	3	1	0	0
P12	105	3	1	0	0
P18	105	3	1	0	0
P9	105	3	1	0	0
P9	103	2	0	1	0
P6	103	2	0	1	0
P18	103	2	1	0	0
P3	103	2	1	0	0
P12	103	2	1	0	0
P15	103	2	1	0	0
P21	103	2	1	0	0
P21	123	1	1	0	0
P6	123	1	1	0	0
P3	123	1	1	0	0
P12	123	1	1	0	0
P9	123	1	1	0	0
P18	123	1	1	0	0
P6	122	3	1	0	0
P18	122	3	1	0	0
P3	122	3	1	0	0
P21	122	3	1	0	0
P9	122	3	1	0	0
P12	122	3	1	0	0
P15	122	3	1	0	0
P9	113	3	1	0	0
P3	113	3	1	0	0
P18	113	3	1	0	0
P12	113	3	1	0	0
P15	113	3	1	0	0
P21	113	3	1	0	0
P6	113	3	1	0	0
P15	127	2	1	0	0
P3	127	2	1	0	0
P9	127	2	1	0	0
P18	127	2	1	0	0
P21	127	2	1	0	0
P6	127	2	1	0	0
P12	127	2	1	0	0
P9	104	3	1	0	0
P18	104	3	1	0	0
P21	104	3	1	0	0
P3	104	3	1	0	0
P15	104	3	1	0	0
P6	104	3	1	0	0
P12	104	3	1	0	0
P21	129	1	1	0	0
P6	129	1	1	0	0
P12	129	1	1	0	0
P9	129	1	1	0	0
P15	129	1	1	0	0
P3	129	1	1	0	0
P18	129	1	1	0	0
P18	108	1	1	0	0
P15	108	1	1	0	0
P21	108	1	1	0	0
P9	108	1	1	0	0
P3	108	1	1	0	0
P6	108	1	1	0	0
P12	108	1	1	0	0
P6	111	1	1	0	0
P12	111	1	1	0	0
P15	111	1	1	0	0
P9	111	1	1	0	0
P21	111	1	1	0	0
P3	111	1	1	0	0
P18	111	1	1	0	0
P12	110	3	1	0	0
P6	110	3	1	0	0
P21	110	3	1	0	0
P18	110	3	1	0	0
P9	110	3	1	0	0
P15	110	3	1	0	0
P9	115	2	1	0	0
P12	115	2	1	0	0
P3	115	2	1	0	0
P21	115	2	1	0	0
P6	115	2	1	0	0
P18	115	2	1	0	0
P18	119	3	1	0	0
P15	119	3	1	0	0
P21	119	3	1	0	0
P3	119	3	1	0	0
P6	119	3	1	0	0
P9	119	3	1	0	0
P12	119	3	1	0	0
P18	118	2	1	0	0
P12	118	2	1	0	0
P21	118	2	1	0	0
P9	118	2	1	0	0
P15	118	2	1	0	0
P6	118	2	1	0	0
P3	118	2	1	0	0
P21	130	2	1	0	0
P6	130	2	1	0	0
P12	130	2	1	0	0
P18	130	2	1	0	0
P3	130	2	1	0	0
P9	130	2	1	0	0
P12	124	2	1	0	0
P3	124	2	1	0	0
P18	124	2	1	0	0
P6	124	2	1	0	0
P15	124	2	1	0	0
P21	124	2	1	0	0
P9	124	2	1	0	0
P18	120	1	1	0	0
P12	120	1	1	0	0
P3	120	1	1	0	0
P9	120	1	1	0	0
P21	120	1	1	0	0
P6	120	1	1	0	0
P15	102	1	1	0	0
P3	102	1	1	0	0
P6	102	1	1	0	0
P18	102	1	1	0	0
P9	102	1	1	0	0
P21	102	1	1	0	0
P12	102	1	1	0	0
P6	112	2	1	0	0
P15	112	2	1	0	0
P18	112	2	1	0	0
P12	112	2	0	1	0
P9	112	2	1	0	0
P3	112	2	1	0	0
P21	112	2	1	0	0
P12	107	3	1	0	0
P9	107	3	1	0	0
P6	107	3	1	0	0
P18	107	3	1	0	0
P3	107	3	1	0	0
P21	107	3	1	0	0
P18	126	1	1	0	0
P21	126	1	1	0	0
P9	126	1	1	0	0
P3	126	1	1	0	0
P12	126	1	1	0	0
P6	126	1	1	0	0
P15	126	1	1	0	0
P15	125	3	1	0	0
P6	125	3	1	0	0
P12	125	3	1	0	0
P18	125	3	1	0	0
P3	125	3	1	0	0
P21	125	3	1	0	0
P9	125	3	1	0	0
P3	114	1	1	0	0
P18	114	1	1	0	0
P12	114	1	1	0	0
P21	114	1	1	0	0
P9	114	1	1	0	0
P6	114	1	1	0	0
P15	114	1	1	0	0
P15	121	2	1	0	0
P6	121	2	1	0	0
P21	121	2	1	0	0
P12	121	2	1	0	0
P18	121	2	1	0	0
P3	121	2	0	0	1
P9	121	2	1	0	0
P18	106	2	1	0	0
P9	106	2	1	0	0
P6	106	2	1	0	0
P3	106	2	1	0	0
P12	106	2	1	0	0
P21	106	2	1	0	0
P21	128	3	1	0	0
P9	128	3	1	0	0
P6	128	3	1	0	0
P18	128	3	1	0	0
P3	128	3	1	0	0
P12	128	3	1	0	0
P20	110	2	1	0	0
P14	110	2	1	0	0
P8	110	2	1	0	0
P11	110	2	1	0	0
P17	110	2	1	0	0
P5	110	2	1	0	0
P2	118	1	1	0	0
P5	118	1	1	0	0
P14	118	1	1	0	0
P20	118	1	1	0	0
P8	118	1	1	0	0
P17	118	1	1	0	0
P11	118	1	1	0	0
P14	122	2	1	0	0
P11	122	2	1	0	0
P8	122	2	1	0	0
P20	122	2	1	0	0
P17	122	2	1	0	0
P2	122	2	1	0	0
P5	122	2	1	0	0
P2	126	3	1	0	0
P14	126	3	1	0	0
P11	126	3	1	0	0
P5	126	3	1	0	0
P17	126	3	1	0	0
P20	126	3	0	1	0
P8	126	3	1	0	0
P5	112	1	1	0	0
P8	112	1	1	0	0
P20	112	1	1	0	0
P14	112	1	1	0	0
P17	112	1	1	0	0
P11	112	1	1	0	0
P2	112	1	1	0	0
P17	116	2	1	0	0
P11	116	2	1	0	0
P5	116	2	1	0	0
P14	116	2	1	0	0
P2	116	2	1	0	0
P20	116	2	1	0	0
P8	116	2	1	0	0
P17	115	1	1	0	0
P14	115	1	1	0	0
P5	115	1	1	0	0
P20	115	1	1	0	0
P11	115	1	1	0	0
P8	115	1	1	0	0
P8	105	2	1	0	0
P5	105	2	1	0	0
P17	105	2	1	0	0
P2	105	2	1	0	0
P14	105	2	1	0	0
P11	105	2	1	0	0
P20	105	2	1	0	0
P2	114	3	1	0	0
P14	114	3	1	0	0
P20	114	3	1	0	0
P8	114	3	1	0	0
P11	114	3	1	0	0
P5	114	3	1	0	0
P17	114	3	1	0	0
P11	102	3	1	0	0
P17	102	3	1	0	0
P2	102	3	1	0	0
P20	102	3	1	0	0
P5	102	3	1	0	0
P8	102	3	1	0	0
P14	104	2	1	0	0
P2	104	2	1	0	0
P11	104	2	1	0	0
P17	104	2	1	0	0
P5	104	2	1	0	0
P20	104	2	1	0	0
P8	104	2	1	0	0
P5	106	1	1	0	0
P11	106	1	1	0	0
P17	106	1	1	0	0
P20	106	1	1	0	0
P14	106	1	1	0	0
P11	125	2	1	0	0
P17	125	2	1	0	0
P14	125	2	1	0	0
P20	125	2	1	0	0
P2	125	2	1	0	0
P8	125	2	1	0	0
P5	125	2	1	0	0
P14	101	2	1	0	0
P17	101	2	1	0	0
P2	101	2	1	0	0
P8	101	2	1	0	0
P11	101	2	1	0	0
P20	101	2	1	0	0
P5	101	2	1	0	0
P2	107	2	1	0	0
P8	107	2	1	0	0
P14	107	2	1	0	0
P17	107	2	0	1	0
P11	107	2	1	0	0
P5	107	2	1	0	0
P20	107	2	1	0	0
P8	117	3	0	1	0
P20	117	3	0	1	0
P14	117	3	0	1	0
P17	117	3	1	0	0
P2	117	3	0	1	0
P11	117	3	0	1	0
P5	117	3	0	1	0
P11	109	1	1	0	0
P5	109	1	1	0	0
P20	109	1	1	0	0
P17	109	1	1	0	0
P8	109	1	1	0	0
P14	109	1	1	0	0
P5	111	3	1	0	0
P20	111	3	1	0	0
P11	111	3	1	0	0
P2	111	3	1	0	0
P17	111	3	1	0	0
P14	111	3	0	1	0
P17	123	3	1	0	0
P11	123	3	1	0	0
P5	123	3	1	0	0
P8	123	3	1	0	0
P14	123	3	1	0	0
P20	123	3	1	0	0
P2	123	3	1	0	0
P8	108	3	1	0	0
P17	108	3	1	0	0
P5	108	3	0	0	1
P14	108	3	0	0	1
P2	108	3	1	0	0
P11	108	3	0	0	1
P20	108	3	0	0	1
P17	130	1	1	0	0
P14	130	1	1	0	0
P8	130	1	1	0	0
P20	130	1	1	0	0
P5	130	1	1	0	0
P11	130	1	1	0	0
P2	130	1	1	0	0
P8	121	1	1	0	0
P20	121	1	1	0	0
P2	121	1	1	0	0
P11	121	1	1	0	0
P14	121	1	1	0	0
P17	121	1	1	0	0
P5	121	1	1	0	0
P2	119	2	1	0	0
P17	119	2	1	0	0
P20	119	2	1	0	0
P11	119	2	1	0	0
P14	119	2	1	0	0
P5	119	2	1	0	0
P8	119	2	1	0	0
P11	124	1	1	0	0
P17	124	1	1	0	0
P5	124	1	1	0	0
P14	124	1	1	0	0
P20	124	1	1	0	0
P8	124	1	1	0	0
P8	113	2	1	0	0
P14	113	2	1	0	0
P5	113	2	1	0	0
P11	113	2	1	0	0
P17	113	2	1	0	0
P20	113	2	1	0	0
P17	120	3	1	0	0
P14	120	3	1	0	0
P8	120	3	1	0	0
P11	120	3	1	0	0
P5	120	3	1	0	0
P2	120	3	1	0	0
P20	120	3	1	0	0
P20	128	2	1	0	0
P11	128	2	1	0	0
P5	128	2	1	0	0
P8	128	2	1	0	0
P14	128	2	1	0	0
P2	128	2	1	0	0
P17	128	2	1	0	0
P14	129	3	1	0	0
P20	129	3	1	0	0
P11	129	3	0	1	0
P5	129	3	1	0	0
P8	129	3	1	0	0
P17	129	3	1	0	0
P2	129	3	1	0	0
P11	103	1	1	0	0
P8	103	1	1	0	0
P14	103	1	1	0	0
P5	103	1	1	0	0
